12, mouse, one, one, 0.2659644, 1
12, mouse, one, one, 0.7172292, 1
12, mouse, one, one, 0.347661, 1
12, mouse, one, one, 0.1979696, 1
12, mouse, one, one, 0.1971646, 1
12, mouse, one, one, 0.1896987, 1
12, mouse, one, one, 0.1800713, 1
12, mouse, one, one, 0.1820609, 1
12, mouse, one, one, 0.1808195, 1
12, mouse, one, one, 0.1789404, 1
12, mouse, one, one, 0.18075, 1
12, mouse, one, one, 0.2045919, 1
12, mouse, one, one, 0.1876384, 1
12, mouse, one, one, 0.3251294, 1
12, mouse, one, one, 0.04, 1
12, mouse, one, one, 0.4905696, 1
12, mouse, one, one, 0.2811508, 1
12, mouse, one, one, 0.1773642, 1
12, mouse, one, one, 0.4200428, 0
12, mouse, one, one, 0.3834983, 0
12, mouse, one, one, 0.2955401, 0
12, mouse, one, one, 0.424633, 1
12, mouse, one, one, 0.4565055, 0
12, mouse, one, one, 0.3265227, 0
12, mouse, one, one, 0.2396664, 0
12, mouse, one, one, 0.2291, 0
12, mouse, one, one, 0.2185681, 0
12, mouse, one, one, 0.1869599, 0
